DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y22,99,2019,310066,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y22,99,2020,309970,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y22,99,2021,313052,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y22,99,2022,306585,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y22,99,2023,311847,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y22,99,2024,306574,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y22,99,2025,307829,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y22,99,2026,316162,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y23,99,2019,308282,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y23,99,2020,309688,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y23,99,2021,309342,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y23,99,2022,310871,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y23,99,2023,310412,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y23,99,2024,315925,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y23,99,2025,311257,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y23,99,2026,313457,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y24,99,2019,310034,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y24,99,2020,307991,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y24,99,2021,308686,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y24,99,2022,307450,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y24,99,2023,314704,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y24,99,2024,314636,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y24,99,2025,321551,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y24,99,2026,317310,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y25,99,2019,314552,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y25,99,2020,309378,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y25,99,2021,306234,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y25,99,2022,307226,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y25,99,2023,311008,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y25,99,2024,319013,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y25,99,2025,319373,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y25,99,2026,328100,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y26,99,2019,327377,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y26,99,2020,313758,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y26,99,2021,306729,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y26,99,2022,304818,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y26,99,2023,310911,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y26,99,2024,314881,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y26,99,2025,323820,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y26,99,2026,326419,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y27,99,2019,325160,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y27,99,2020,326635,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y27,99,2021,310129,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y27,99,2022,306056,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y27,99,2023,308660,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y27,99,2024,314955,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y27,99,2025,319455,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y27,99,2026,330799,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y28,99,2019,331737,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y28,99,2020,324590,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y28,99,2021,323025,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y28,99,2022,309781,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y28,99,2023,309963,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y28,99,2024,312534,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y28,99,2025,319250,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y28,99,2026,326476,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y29,99,2019,328580,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y29,99,2020,331083,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y29,99,2021,320148,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y29,99,2022,322737,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y29,99,2023,313746,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y29,99,2024,314071,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y29,99,2025,316695,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y29,99,2026,326175,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y3,99,2019,248155,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y3,99,2020,242107,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y3,99,2021,238741,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y3,99,2022,228694,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y3,99,2023,219719,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y3,99,2024,213459,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y3,99,2025,210340,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y3,99,2026,208557,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y30,99,2019,336140,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y30,99,2020,328034,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y30,99,2021,327009,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y30,99,2022,320462,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y30,99,2023,326788,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y30,99,2024,317807,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y30,99,2025,317976,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y30,99,2026,323355,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y31,99,2019,328519,,,,,,,,,,
