FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;AGE;Età;MARITAL_STATUS;Stato civile;TIME_PERIOD;Osservazione;OBS_STATUS;stato_osservazione
A;Annuale;4012;Barge;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;7430;;
A;Annuale;4012;Barge;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;7398;;
A;Annuale;4012;Barge;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;7412;;
A;Annuale;4012;Barge;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;7454;;
A;Annuale;4012;Barge;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;7510;e;Dato stimato
A;Annuale;4013;Barolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;690;;
A;Annuale;4013;Barolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;679;;
A;Annuale;4013;Barolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;682;;
A;Annuale;4013;Barolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;660;;
A;Annuale;4013;Barolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;638;;
A;Annuale;4013;Barolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;618;;
A;Annuale;4013;Barolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;617;;
A;Annuale;4013;Barolo;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;613;e;Dato stimato
A;Annuale;4014;Bastia Mondovì;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;665;;
A;Annuale;4014;Bastia Mondovì;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;641;;
A;Annuale;4014;Bastia Mondovì;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;639;;
A;Annuale;4014;Bastia Mondovì;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;628;;
A;Annuale;4014;Bastia Mondovì;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;629;;
A;Annuale;4014;Bastia Mondovì;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;627;;
